,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
BTC/USDT,"[[19287.45, 0.13]]","[[19290.95, 0.039844]]",2022-10-25 10:47:23.666,1441474449,BTC,USDT,56.9,19287.45,0.13,19290.95,0.039844
BUSD/USDT,"[[0.9999, 224836.7]]","[[1.0, 249036.22]]",2022-10-25 10:47:23.722,3941199,BUSD,USDT,56.0,0.9999,224836.7,1.0,249036.22
ETH/USDT,"[[1345.34, 0.75]]","[[1345.65, 0.375]]",2022-10-25 10:47:23.779,1320052269,ETH,USDT,56.4,1345.34,0.75,1345.65,0.375
MANA/USDT,"[[0.6059, 161.0]]","[[0.6071, 513.0]]",2022-10-25 10:47:23.836,59411937,MANA,USDT,56.9,0.6059,161.0,0.6071,513.0
MATIC/USDT,"[[0.882, 7228.5]]","[[0.883, 85.6]]",2022-10-25 10:47:23.900,58658253,MATIC,USDT,64.2,0.882,7228.5,0.883,85.6
POLY/USDT,[],[],2022-10-25 10:47:23.956,6429306,POLY,USDT,55.9,,,,
SOL/USDT,"[[28.1616, 53.25]]","[[28.176, 3.21]]",2022-10-25 10:47:24.012,625370248,SOL,USDT,55.7,28.1616,53.25,28.176,3.21
TRX/USDT,"[[0.06126, 23097.3]]","[[0.06133, 4076.4]]",2022-10-25 10:47:24.064,24932556,TRX,USDT,52.5,0.06126,23097.3,0.06133,4076.4
USDC/USDT,"[[1.0, 254742.0]]","[[1.0001, 242529.0]]",2022-10-25 10:47:24.118,1402609,USDC,USDT,54.1,1.0,254742.0,1.0001,242529.0
UST/USDT,[],[],2022-10-25 10:47:24.170,1960270,UST,USDT,51.8,,,,
XRP/USDT,[],[],2022-10-25 10:47:24.225,100846158,XRP,USDT,55.2,,,,
ADA/BTC,"[[1.864e-05, 14970.0]]","[[1.868e-05, 15852.0]]",2022-10-25 10:47:24.279,130327958,ADA,BTC,54.3,1.864e-05,14970.0,1.868e-05,15852.0
BNB/BTC,"[[0.0141591, 4.46]]","[[0.0141663, 0.9]]",2022-10-25 10:47:24.335,254886578,BNB,BTC,56.0,0.0141591,4.46,0.0141663,0.9
ETH/BTC,"[[0.069722, 0.375]]","[[0.069759, 0.375]]",2022-10-25 10:47:24.391,456420068,ETH,BTC,55.0,0.069722,0.375,0.069759,0.375
MANA/BTC,"[[3.141e-05, 550.0]]","[[3.147e-05, 636.0]]",2022-10-25 10:47:24.443,17048463,MANA,BTC,52.4,3.141e-05,550.0,3.147e-05,636.0
MATIC/BTC,"[[4.573e-05, 1014.6]]","[[4.581e-05, 1980.6]]",2022-10-25 10:47:24.497,20238291,MATIC,BTC,54.0,4.573e-05,1014.6,4.581e-05,1980.6
POLY/BTC,[],[],2022-10-25 10:47:24.551,4620363,POLY,BTC,54.0,,,,
SOL/BTC,"[[0.0014593, 57.68]]","[[0.0014613, 17.74]]",2022-10-25 10:47:24.605,77771138,SOL,BTC,54.2,0.0014593,57.68,0.0014613,17.74
TRX/BTC,"[[3.17e-06, 2233670.0]]","[[3.19e-06, 970935.0]]",2022-10-25 10:47:24.659,3846878,TRX,BTC,53.5,3.17e-06,2233670.0,3.19e-06,970935.0
XRP/BTC,[],[],2022-10-25 10:47:24.713,48000651,XRP,BTC,54.7,,,,
ADA/BUSD,"[[0.359, 21318.4]]","[[0.361, 20879.1]]",2022-10-25 10:47:24.769,10597220,ADA,BUSD,55.7,0.359,21318.4,0.361,20879.1
BNB/BUSD,"[[273.0577, 1.64]]","[[273.3126, 1.82]]",2022-10-25 10:47:24.821,221907707,BNB,BUSD,52.3,273.0577,1.64,273.3126,1.82
BTC/BUSD,"[[19289.2, 0.051842]]","[[19292.47, 0.0475]]",2022-10-25 10:47:24.875,653134127,BTC,BUSD,53.9,19289.2,0.051842,19292.47,0.0475
ETH/BUSD,"[[1345.39, 0.375]]","[[1345.8, 0.375]]",2022-10-25 10:47:24.939,487718144,ETH,BUSD,63.7,1345.39,0.375,1345.8,0.375
MANA/BUSD,"[[0.6056, 495.0]]","[[0.607, 98.0]]",2022-10-25 10:47:24.992,31360415,MANA,BUSD,53.2,0.6056,495.0,0.607,98.0
MATIC/BUSD,"[[0.88279, 283.1]]","[[0.88318, 283.0]]",2022-10-25 10:47:25.047,371444941,MATIC,BUSD,55.2,0.88279,283.1,0.88318,283.0
POLY/BUSD,[],[],2022-10-25 10:47:25.102,5671080,POLY,BUSD,54.5,,,,
SOL/BUSD,"[[28.13, 35.23]]","[[28.21, 203.33]]",2022-10-25 10:47:25.160,46333567,SOL,BUSD,57.6,28.13,35.23,28.21,203.33
TRX/BUSD,"[[0.06126, 4080.8]]","[[0.06134, 2445.5]]",2022-10-25 10:47:25.214,16166174,TRX,BUSD,54.7,0.06126,4080.8,0.06134,2445.5
USDC/BUSD,"[[0.9999, 288280.16]]","[[1.0, 234505.87]]",2022-10-25 10:47:25.266,670340,USDC,BUSD,51.7,0.9999,288280.16,1.0,234505.87
XRP/BUSD,[],[],2022-10-25 10:47:25.319,28045681,XRP,BUSD,53.5,,,,
BTC/USDC,"[[19288.93, 0.046658]]","[[19292.24, 0.0495]]",2022-10-25 10:47:25.372,393871805,BTC,USDC,52.6,19288.93,0.046658,19292.24,0.0495
ETH/USDC,"[[1345.33, 0.3344]]","[[1345.8, 0.3]]",2022-10-25 10:47:25.428,142853873,ETH,USDC,55.6,1345.33,0.3344,1345.8,0.3
BTC/UST,[],[],2022-10-25 10:47:25.479,2296799,BTC,UST,51.6,,,,
