,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
POLY/USDT,"[[0.1876, 252.0]]","[[0.189, 994.4]]",2022-07-05 14:48:01.403,3642784,POLY,USDT,74.7,0.1876,252.0,0.189,994.4
SOL/USDT,"[[33.4728, 0.71]]","[[33.4924, 12.0]]",2022-07-05 14:48:01.495,501514306,SOL,USDT,92.0,33.4728,0.71,33.4924,12.0
TRX/USDT,"[[0.0666, 6517.8]]","[[0.0667, 7130.6]]",2022-07-05 14:48:01.576,14720537,TRX,USDT,81.0,0.0666,6517.8,0.0667,7130.6
USDC/USDT,"[[1.001, 205197.0]]","[[1.0016, 376538.0]]",2022-07-05 14:48:01.644,1226118,USDC,USDT,68.2,1.001,205197.0,1.0016,376538.0
UST/USDT,[],[],2022-07-05 14:48:01.751,1960270,UST,USDT,106.9,,,,
XRP/USDT,[],[],2022-07-05 14:48:01.821,100846158,XRP,USDT,70.0,,,,
ADA/BTC,"[[2.295e-05, 1316.0]]","[[2.298e-05, 133.0]]",2022-07-05 14:48:01.918,122120163,ADA,BTC,96.6,2.295e-05,1316.0,2.298e-05,133.0
BNB/BTC,"[[0.0115225, 0.11]]","[[0.0115364, 0.12]]",2022-07-05 14:48:01.990,243621990,BNB,BTC,72.4,0.0115225,0.11,0.0115364,0.12
ETH/BTC,"[[0.056094, 0.32]]","[[0.05613, 0.32]]",2022-07-05 14:48:02.060,377718196,ETH,BTC,70.1,0.056094,0.32,0.05613,0.32
MANA/BTC,"[[4.338e-05, 695.0]]","[[4.348e-05, 246.0]]",2022-07-05 14:48:02.128,13381063,MANA,BTC,68.4,4.338e-05,695.0,4.348e-05,246.0
MATIC/BTC,"[[2.559e-05, 2.3]]","[[2.563e-05, 1245.4]]",2022-07-05 14:48:02.223,13640953,MATIC,BTC,94.9,2.559e-05,2.3,2.563e-05,1245.4
POLY/BTC,"[[9.66e-06, 252.0]]","[[9.71e-06, 1296.0]]",2022-07-05 14:48:02.298,2420407,POLY,BTC,74.3,9.66e-06,252.0,9.71e-06,1296.0
SOL/BTC,"[[0.0017183, 5.99]]","[[0.0017216, 6.48]]",2022-07-05 14:48:02.368,49627988,SOL,BTC,70.1,0.0017183,5.99,0.0017216,6.48
TRX/BTC,"[[3.42e-06, 6853.0]]","[[3.43e-06, 11001.0]]",2022-07-05 14:48:02.434,1579771,TRX,BTC,66.1,3.42e-06,6853.0,3.43e-06,11001.0
XRP/BTC,[],[],2022-07-05 14:48:02.518,48000651,XRP,BTC,83.7,,,,
ADA/BUSD,"[[0.446, 1102.5]]","[[0.447, 2279.8]]",2022-07-05 14:48:02.587,8924855,ADA,BUSD,69.8,0.446,1102.5,0.447,2279.8
BNB/BUSD,"[[223.8398, 0.18]]","[[224.188, 2.94]]",2022-07-05 14:48:02.672,207233557,BNB,BUSD,84.7,223.8398,0.18,224.188,2.94
BTC/BUSD,"[[19433.66, 8.6e-05]]","[[19439.43, 0.034]]",2022-07-05 14:48:02.759,526404945,BTC,BUSD,87.3,19433.66,8.6e-05,19439.43,0.034
ETH/BUSD,"[[1090.0, 0.0259]]","[[1090.78, 0.42]]",2022-07-05 14:48:02.831,394895424,ETH,BUSD,72.0,1090.0,0.0259,1090.78,0.42
MANA/BUSD,"[[0.8425, 1332.0]]","[[0.8444, 200.0]]",2022-07-05 14:48:02.902,24547039,MANA,BUSD,70.4,0.8425,1332.0,0.8444,200.0
MATIC/BUSD,"[[0.49674, 4224.4]]","[[0.49723, 3778.6]]",2022-07-05 14:48:03.004,331843641,MATIC,BUSD,102.3,0.49674,4224.4,0.49723,3778.6
POLY/BUSD,"[[0.1872, 1063.6]]","[[0.1888, 1256.4]]",2022-07-05 14:48:03.079,3422735,POLY,BUSD,74.7,0.1872,1063.6,0.1888,1256.4
SOL/BUSD,"[[33.41, 0.9]]","[[33.49, 8.18]]",2022-07-05 14:48:03.162,36822561,SOL,BUSD,83.2,33.41,0.9,33.49,8.18
TRX/BUSD,"[[0.06652, 9327.4]]","[[0.06666, 18365.4]]",2022-07-05 14:48:03.238,9526909,TRX,BUSD,75.5,0.06652,9327.4,0.06666,18365.4
USDC/BUSD,"[[0.9998, 63851.52]]","[[1.0, 178907.43]]",2022-07-05 14:48:03.310,637686,USDC,BUSD,72.2,0.9998,63851.52,1.0,178907.43
XRP/BUSD,[],[],2022-07-05 14:48:03.382,28045681,XRP,BUSD,72.3,,,,
BTC/USDC,"[[19422.78, 0.035]]","[[19441.57, 0.051458]]",2022-07-05 14:48:03.455,232569239,BTC,USDC,72.6,19422.78,0.035,19441.57,0.051458
ETH/USDC,"[[1089.82, 0.415]]","[[1090.72, 0.415]]",2022-07-05 14:48:03.530,68042338,ETH,USDC,74.8,1089.82,0.415,1090.72,0.415
BTC/UST,[],[],2022-07-05 14:48:03.600,2296799,BTC,UST,70.5,,,,
