,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
MATIC/USDT,"[[0.908, 6139.1]]","[[0.909, 214.0]]",2022-08-03 15:23:24.155,48630353,MATIC,USDT,265.2,0.908,6139.1,0.909,214.0
NEAR/USDT,"[[4.446, 71.3]]","[[4.453, 29.6]]",2022-08-03 15:23:24.213,62624303,NEAR,USDT,58.4,4.446,71.3,4.453,29.6
OMG/USDT,"[[2.215, 252.4]]","[[2.222, 270.0]]",2022-08-03 15:23:24.272,15344228,OMG,USDT,58.9,2.215,252.4,2.222,270.0
ONE/USDT,"[[0.02246, 20528.7]]","[[0.0225, 21500.0]]",2022-08-03 15:23:24.332,299243825,ONE,USDT,60.0,0.02246,20528.7,0.0225,21500.0
POLY/USDT,"[[0.2215, 2324.1]]","[[0.2225, 1269.1]]",2022-08-03 15:23:24.393,4313701,POLY,USDT,61.2,0.2215,2324.1,0.2225,1269.1
SOL/USDT,"[[40.2365, 12.42]]","[[40.2501, 11.5]]",2022-08-03 15:23:24.451,555072211,SOL,USDT,57.8,40.2365,12.42,40.2501,11.5
TRX/USDT,"[[0.06865, 3932.1]]","[[0.06877, 4361.9]]",2022-08-03 15:23:24.616,16892948,TRX,USDT,165.1,0.06865,3932.1,0.06877,4361.9
UNI/USDT,"[[9.1117, 48.5]]","[[9.1304, 54.75]]",2022-08-03 15:23:24.680,216261034,UNI,USDT,63.8,9.1117,48.5,9.1304,54.75
USDC/USDT,"[[0.9997, 378985.0]]","[[0.9999, 327894.0]]",2022-08-03 15:23:24.746,1312515,USDC,USDT,65.8,0.9997,378985.0,0.9999,327894.0
UST/USDT,[],[],2022-08-03 15:23:24.806,1960270,UST,USDT,59.8,,,,
VET/USDT,"[[0.029524, 18500.0]]","[[0.029547, 28462.0]]",2022-08-03 15:23:24.887,622534537,VET,USDT,81.3,0.029524,18500.0,0.029547,28462.0
XRP/USDT,[],[],2022-08-03 15:23:24.947,100846158,XRP,USDT,60.3,,,,
ADA/BTC,"[[2.178e-05, 1475.0]]","[[2.182e-05, 27390.0]]",2022-08-03 15:23:25.202,124259366,ADA,BTC,254.3,2.178e-05,1475.0,2.182e-05,27390.0
ATOM/BTC,"[[0.0004421, 24.22]]","[[0.0004428, 24.2]]",2022-08-03 15:23:25.286,21765577,ATOM,BTC,84.0,0.0004421,24.22,0.0004428,24.2
AVAX/BTC,"[[0.0010219, 22.29]]","[[0.0010238, 15.35]]",2022-08-03 15:23:25.344,24796247,AVAX,BTC,58.7,0.0010219,22.29,0.0010238,15.35
BCH/BTC,"[[0.005916, 2.331]]","[[0.005932, 0.723]]",2022-08-03 15:23:25.406,172864683,BCH,BTC,61.6,0.005916,2.331,0.005932,0.723
BNB/BTC,"[[0.0126625, 0.9]]","[[0.012668, 15.12]]",2022-08-03 15:23:25.468,247736795,BNB,BTC,62.3,0.0126625,0.9,0.012668,15.12
DOT/BTC,"[[0.0003513, 81.87]]","[[0.0003519, 30.46]]",2022-08-03 15:23:25.594,22692175,DOT,BTC,125.3,0.0003513,81.87,0.0003519,30.46
ETH/BTC,"[[0.071017, 0.255]]","[[0.07106, 0.255]]",2022-08-03 15:23:25.673,402449060,ETH,BTC,79.3,0.071017,0.255,0.07106,0.255
LINK/BTC,"[[0.00032143, 0.5]]","[[0.00032154, 33.0]]",2022-08-03 15:23:25.733,161597924,LINK,BTC,60.0,0.00032143,0.5,0.00032154,33.0
LRC/BTC,"[[1.784e-05, 978.0]]","[[1.791e-05, 444.0]]",2022-08-03 15:23:25.792,11548221,LRC,BTC,59.2,1.784e-05,978.0,1.791e-05,444.0
LTC/BTC,"[[0.00253, 5.07]]","[[0.002535, 6.07]]",2022-08-03 15:23:25.855,145231619,LTC,BTC,62.4,0.00253,5.07,0.002535,6.07
MANA/BTC,"[[4.253e-05, 251.0]]","[[4.262e-05, 256.0]]",2022-08-03 15:23:25.914,14703239,MANA,BTC,59.8,4.253e-05,251.0,4.262e-05,256.0
MATIC/BTC,"[[3.894e-05, 275.0]]","[[3.898e-05, 274.8]]",2022-08-03 15:23:25.973,16673130,MATIC,BTC,58.7,3.894e-05,275.0,3.898e-05,274.8
POLY/BTC,"[[9.5e-06, 1207.0]]","[[9.55e-06, 1021.0]]",2022-08-03 15:23:26.249,2916363,POLY,BTC,275.9,9.5e-06,1207.0,9.55e-06,1021.0
SOL/BTC,"[[0.0017248, 11.29]]","[[0.0017258, 12.41]]",2022-08-03 15:23:26.311,58202213,SOL,BTC,62.2,0.0017248,11.29,0.0017258,12.41
TRX/BTC,"[[2.94e-06, 7424.0]]","[[2.96e-06, 204706.0]]",2022-08-03 15:23:26.373,1898163,TRX,BTC,62.1,2.94e-06,7424.0,2.96e-06,204706.0
UNI/BTC,"[[0.00039076, 163.0]]","[[0.00039166, 86.0]]",2022-08-03 15:23:26.434,126135954,UNI,BTC,60.5,0.00039076,163.0,0.00039166,86.0
VET/BTC,"[[1.26e-06, 24039.0]]","[[1.27e-06, 27868.0]]",2022-08-03 15:23:26.495,55024305,VET,BTC,61.4,1.26e-06,24039.0,1.27e-06,27868.0
XRP/BTC,[],[],2022-08-03 15:23:26.644,48000651,XRP,BTC,148.2,,,,
XTZ/BTC,"[[7.51e-05, 68.38]]","[[7.54e-05, 377.24]]",2022-08-03 15:23:26.701,78492793,XTZ,BTC,57.3,7.51e-05,68.38,7.54e-05,377.24
ADA/BUSD,"[[0.508, 5474.9]]","[[0.51, 22917.8]]",2022-08-03 15:23:26.760,9615432,ADA,BUSD,59.6,0.508,5474.9,0.51,22917.8
ALGO/BUSD,"[[0.3312, 301.92]]","[[0.3317, 452.24]]",2022-08-03 15:23:26.822,180616724,ALGO,BUSD,61.7,0.3312,301.92,0.3317,452.24
BNB/BUSD,"[[295.3168, 3.0]]","[[295.978, 3.9]]",2022-08-03 15:23:26.886,213324275,BNB,BUSD,63.9,295.3168,3.0,295.978,3.9
BTC/BUSD,"[[23326.23, 0.0405]]","[[23332.7, 0.0405]]",2022-08-03 15:23:26.946,576845580,BTC,BUSD,59.7,23326.23,0.0405,23332.7,0.0405
EOS/BUSD,"[[1.2126, 384.92]]","[[1.2161, 246.7]]",2022-08-03 15:23:27.008,119708107,EOS,BUSD,62.1,1.2126,384.92,1.2161,246.7
ETH/BUSD,"[[1656.58, 1.82912]]","[[1657.71, 0.32]]",2022-08-03 15:23:27.068,433250043,ETH,BUSD,60.2,1656.58,1.82912,1657.71,0.32
LPT/BUSD,"[[11.12, 92.16]]","[[11.16, 22.4]]",2022-08-03 15:23:27.298,11040959,LPT,BUSD,229.7,11.12,92.16,11.16,22.4
MANA/BUSD,"[[0.9924, 1007.0]]","[[0.9953, 197.0]]",2022-08-03 15:23:27.362,26983687,MANA,BUSD,64.2,0.9924,1007.0,0.9953,197.0
MATIC/BUSD,"[[0.90856, 275.1]]","[[0.90936, 274.9]]",2022-08-03 15:23:27.422,349666315,MATIC,BUSD,59.8,0.90856,275.1,0.90936,274.9
NEAR/BUSD,"[[4.446, 480.3]]","[[4.456, 67.3]]",2022-08-03 15:23:27.490,39976941,NEAR,BUSD,68.0,4.446,480.3,4.456,67.3
OMG/BUSD,"[[2.217, 135.31]]","[[2.2225, 134.98]]",2022-08-03 15:23:27.552,172168933,OMG,BUSD,61.7,2.217,135.31,2.2225,134.98
ONE/BUSD,"[[0.022461, 13356.0]]","[[0.022534, 11981.0]]",2022-08-03 15:23:27.692,82003812,ONE,BUSD,140.3,0.022461,13356.0,0.022534,11981.0
POLY/BUSD,"[[0.2215, 1003.6]]","[[0.2226, 1366.7]]",2022-08-03 15:23:27.753,4011159,POLY,BUSD,61.2,0.2215,1003.6,0.2226,1366.7
SOL/BUSD,"[[40.19, 11.95]]","[[40.31, 9.17]]",2022-08-03 15:23:27.814,41267160,SOL,BUSD,60.4,40.19,11.95,40.31,9.17
TRX/BUSD,"[[0.06865, 13808.6]]","[[0.06878, 48214.3]]",2022-08-03 15:23:27.873,11082825,TRX,BUSD,59.0,0.06865,13808.6,0.06878,48214.3
USDC/BUSD,"[[0.9999, 376066.84]]","[[1.0001, 372095.78]]",2022-08-03 15:23:27.939,645863,USDC,BUSD,66.3,0.9999,376066.84,1.0001,372095.78
XRP/BUSD,[],[],2022-08-03 15:23:28.005,28045681,XRP,BUSD,65.9,,,,
XTZ/BUSD,"[[1.7534, 198.92]]","[[1.7607, 165.71]]",2022-08-03 15:23:28.067,126807750,XTZ,BUSD,62.0,1.7534,198.92,1.7607,165.71
BTC/USDC,"[[23325.92, 0.107176]]","[[23330.8, 0.107154]]",2022-08-03 15:23:28.347,277841284,BTC,USDC,280.4,23325.92,0.107176,23330.8,0.107154
ETH/USDC,"[[1656.69, 0.305]]","[[1657.71, 0.305]]",2022-08-03 15:23:28.404,100166470,ETH,USDC,56.5,1656.69,0.305,1657.71,0.305
BTC/UST,[],[],2022-08-03 15:23:28.481,2296799,BTC,UST,77.5,,,,
