,bids,asks,timestamp,nonce,base,quote,run_time (ms),bid_price,bid_volume,ask_price,ask_volume
UST/USDT,[],[],2022-07-05 15:59:47.630,1960270,UST,USDT,61.7,,,,
XRP/USDT,[],[],2022-07-05 15:59:47.696,100846158,XRP,USDT,66.3,,,,
ADA/BTC,"[[2.297e-05, 887.0]]","[[2.303e-05, 1009.0]]",2022-07-05 15:59:47.758,122121978,ADA,BTC,62.1,2.297e-05,887.0,2.303e-05,1009.0
BNB/BTC,"[[0.0115248, 0.17]]","[[0.0115413, 0.17]]",2022-07-05 15:59:47.825,243626334,BNB,BTC,66.0,0.0115248,0.17,0.0115413,0.17
ETH/BTC,"[[0.05597, 1.745]]","[[0.05601, 0.32]]",2022-07-05 15:59:47.890,377784376,ETH,BTC,65.9,0.05597,1.745,0.05601,0.32
MANA/BTC,"[[4.344e-05, 306.0]]","[[4.355e-05, 323.0]]",2022-07-05 15:59:47.953,13382899,MANA,BTC,62.0,4.344e-05,306.0,4.355e-05,323.0
MATIC/BTC,"[[2.543e-05, 1110.7]]","[[2.549e-05, 569.3]]",2022-07-05 15:59:48.019,13646257,MATIC,BTC,66.4,2.543e-05,1110.7,2.549e-05,569.3
POLY/BTC,"[[9.71e-06, 1029.0]]","[[9.75e-06, 1306.0]]",2022-07-05 15:59:48.085,2420959,POLY,BTC,65.9,9.71e-06,1029.0,9.75e-06,1306.0
SOL/BTC,"[[0.0017339, 7.4]]","[[0.0017356, 7.41]]",2022-07-05 15:59:48.151,49651128,SOL,BTC,66.3,0.0017339,7.4,0.0017356,7.41
TRX/BTC,"[[3.42e-06, 873109.0]]","[[3.44e-06, 8811.0]]",2022-07-05 15:59:48.217,1580466,TRX,BTC,66.1,3.42e-06,873109.0,3.44e-06,8811.0
XRP/BTC,[],[],2022-07-05 15:59:48.286,48000651,XRP,BTC,68.2,,,,
ADA/BUSD,"[[0.448, 2168.6]]","[[0.449, 4386.5]]",2022-07-05 15:59:48.354,8926007,ADA,BUSD,68.8,0.448,2168.6,0.449,4386.5
BNB/BUSD,"[[224.5957, 0.17]]","[[225.0876, 2.6]]",2022-07-05 15:59:48.417,207243935,BNB,BUSD,62.0,224.5957,0.17,225.0876,2.6
BTC/BUSD,"[[19486.16, 0.002051]]","[[19511.64, 0.034]]",2022-07-05 15:59:48.479,526522812,BTC,BUSD,62.2,19486.16,0.002051,19511.64,0.034
ETH/BUSD,"[[1091.39, 0.42]]","[[1092.28, 0.42]]",2022-07-05 15:59:48.540,394988894,ETH,BUSD,61.2,1091.39,0.42,1092.28,0.42
MANA/BUSD,"[[0.8468, 228.0]]","[[0.8494, 216.0]]",2022-07-05 15:59:48.602,24551335,MANA,BUSD,61.9,0.8468,228.0,0.8494,216.0
MATIC/BUSD,"[[0.49643, 1021.7]]","[[0.4972, 603.8]]",2022-07-05 15:59:48.664,331870623,MATIC,BUSD,61.9,0.49643,1021.7,0.4972,603.8
POLY/BUSD,"[[0.1892, 826.5]]","[[0.1902, 1101.0]]",2022-07-05 15:59:48.730,3423682,POLY,BUSD,66.6,0.1892,826.5,0.1902,1101.0
SOL/BUSD,"[[33.79, 7.27]]","[[33.87, 8.55]]",2022-07-05 15:59:48.794,36831687,SOL,BUSD,63.6,33.79,7.27,33.87,8.55
TRX/BUSD,"[[0.06685, 4483.6]]","[[0.06697, 13363.3]]",2022-07-05 15:59:48.869,9530731,TRX,BUSD,75.4,0.06685,4483.6,0.06697,13363.3
USDC/BUSD,"[[0.9998, 61930.52]]","[[1.0, 178692.97]]",2022-07-05 15:59:48.937,637688,USDC,BUSD,68.0,0.9998,61930.52,1.0,178692.97
XRP/BUSD,[],[],2022-07-05 15:59:48.999,28045681,XRP,BUSD,61.6,,,,
BTC/USDC,"[[19497.44, 0.035]]","[[19504.38, 0.035]]",2022-07-05 15:59:49.064,232658494,BTC,USDC,64.5,19497.44,0.035,19504.38,0.035
ETH/USDC,"[[1091.39, 0.415]]","[[1092.31, 0.415]]",2022-07-05 15:59:49.131,68107492,ETH,USDC,67.8,1091.39,0.415,1092.31,0.415
BTC/UST,[],[],2022-07-05 15:59:49.198,2296799,BTC,UST,66.2,,,,
