,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
25,BAT/USDT,2023-03-12 20:43:46.769,BAT,USDT,0.2126,1115.0,0.2133,1210.0
26,ETC/USDT,2023-03-12 20:43:46.841,ETC,USDT,17.53,44.59,17.57,78.6
27,XLM/USDT,2023-03-12 20:43:46.904,XLM,USDT,0.0797,1179.0,0.0799,11941.0
28,ZRX/USDT,2023-03-12 20:43:46.970,ZRX,USDT,0.2001,1939.0,0.2013,1717.0
29,DOGE/USDT,2023-03-12 20:43:47.043,DOGE,USDT,0.06784,17779.0,0.06788,7500.0
30,ATOM/USDT,2023-03-12 20:43:47.110,ATOM,USDT,11.272,26.9,11.284,7.0
31,NEO/USDT,2023-03-12 20:43:47.173,NEO,USDT,9.68,233.78,9.71,189.36
32,VET/USDT,2023-03-12 20:43:47.236,VET,USDT,0.021,17968.38,0.02103,2600.0
33,QTUM/USDT,2023-03-12 20:43:47.303,QTUM,USDT,2.558,38.8,2.568,233.3
34,ONT/USDT,2023-03-12 20:43:47.365,ONT,USDT,0.1955,2016.0,0.1964,6250.0
35,KNC/USDT,2023-03-12 20:43:47.436,KNC,USDT,0.616,597.1,0.619,596.0
36,VTHO/USDT,2023-03-12 20:43:47.517,VTHO,USDT,0.001303,5427676.0,0.001308,45593.0
37,COMP/USDT,2023-03-12 20:43:47.584,COMP,USDT,39.52,9.968,39.62,8.961
38,HNT/USDT,2023-03-12 20:43:47.658,HNT,USDT,2.1,1164.75,2.12,558.58
39,MKR/USDT,2023-03-12 20:43:47.724,MKR,USDT,708.0,0.6417,711.0,0.6459
40,ONE/USDT,2023-03-12 20:43:47.790,ONE,USDT,0.01631,9759.4,0.01634,3500.0
41,BAND/USDT,2023-03-12 20:43:47.859,BAND,USDT,1.499,268.3,1.504,384.1
42,STORJ/USDT,2023-03-12 20:43:47.926,STORJ,USDT,0.3129,290.0,0.3143,611.0
43,BUSD/USDT,2023-03-12 20:43:47.995,BUSD,USDT,0.9928,15226.0,0.9938,1362.0
44,UNI/USDT,2023-03-12 20:43:48.059,UNI,USDT,5.693,93.14,5.706,11.63
45,SOL/USDT,2023-03-12 20:43:48.127,SOL,USDT,18.65,8.56,18.66,42.7
46,EGLD/USDT,2023-03-12 20:43:48.194,EGLD,USDT,39.27,13.7,39.39,11.95
47,PAXG/USDT,2023-03-12 20:43:48.268,PAXG,USDT,1904.0,0.3012,1909.0,0.0167
48,OXT/USDT,2023-03-12 20:43:48.600,OXT,USDT,0.0822,1000.0,0.0827,9073.0
49,ZEN/USDT,2023-03-12 20:43:48.666,ZEN,USDT,9.31,39.9,9.33,2.28
50,FIL/USDT,2023-03-12 20:43:48.734,FIL,USDT,5.263,375.9,5.279,132.87
51,AAVE/USDT,2023-03-12 20:43:48.800,AAVE,USDT,69.0,115.924,69.2,9.904
52,GRT/USDT,2023-03-12 20:43:48.866,GRT,USDT,0.1187,2772.0,0.1191,25483.0
53,SHIB/USDT,2023-03-12 20:43:48.954,SHIB,USDT,1.036e-05,138294938.0,1.037e-05,88790268.0
54,CRV/USDT,2023-03-12 20:43:49.027,CRV,USDT,0.892,843.8,0.896,434.3
55,AXS/USDT,2023-03-12 20:43:49.112,AXS,USDT,7.48,59.04,7.53,107.91
56,AVAX/USDT,2023-03-12 20:43:49.176,AVAX,USDT,15.02,40.94,15.03,24.5
57,CTSI/USDT,2023-03-12 20:43:49.242,CTSI,USDT,0.1231,1239.0,0.1234,2988.0
58,DOT/USDT,2023-03-12 20:43:49.307,DOT,USDT,5.661,11.0,5.667,33.48
59,YFI/USDT,2023-03-12 20:43:49.375,YFI,USDT,7438.0,0.01271,7455.0,0.01113
60,1INCH/USDT,2023-03-12 20:43:49.443,1INCH,USDT,0.448,874.8,0.45,76.0
61,FTM/USDT,2023-03-12 20:43:49.519,FTM,USDT,0.3591,750.0,0.3594,750.0
62,USDC/USDT,2023-03-12 20:43:49.592,USDC,USDT,0.9552,9627.0,0.9559,2332.0
63,MATIC/USDT,2023-03-12 20:43:49.665,MATIC,USDT,1.093,347.9,1.0942,160.5
64,MANA/USDT,2023-03-12 20:43:49.745,MANA,USDT,0.5412,1942.0,0.5424,962.0
65,ALGO/USDT,2023-03-12 20:43:49.812,ALGO,USDT,0.1908,99.0,0.1911,180.0
66,LINK/USDT,2023-03-12 20:43:49.885,LINK,USDT,6.33,79.39,6.342,21.81
67,EOS/USDT,2023-03-12 20:43:49.962,EOS,USDT,1.005,444.1,1.009,1100.7
68,ZEC/USDT,2023-03-12 20:43:50.035,ZEC,USDT,32.6,9.646,32.9,14.994
69,ENJ/USDT,2023-03-12 20:43:50.100,ENJ,USDT,0.3625,2011.7,0.3637,903.9
70,NEAR/USDT,2023-03-12 20:43:50.168,NEAR,USDT,1.862,1060.4,1.866,1020.1
